buildingID,title,poso,plirothike,date_created
197,ΔΙΑΧ/ΚΑ,44.00,true,2023-04-21 08:04:52.626460 +00:00
197,ΕΚΔΟΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ,6.00,true,2023-04-21 08:04:48.724423 +00:00
138,ΗΡΩΝ 31/01/23-28/02/23,43.92,true,2023-04-20 13:29:59.880860 +00:00
138,ΚΗΠΟΣ,60.00,true,2023-04-20 13:27:46.172158 +00:00
138,ΔΕΥΑΠ 19/09/22-16/01/23,15.00,true,2023-04-20 13:26:52.780953 +00:00
138,ΔΕΥΑΠ 19/09/22-19/11/22,15.00,true,2023-04-20 13:26:20.371776 +00:00
138,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,40.00,true,2023-04-20 13:19:36.564229 +00:00
138,ΔΙΑΧ/ΚΑ,20.00,true,2023-04-20 13:19:32.227557 +00:00
138,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,25.00,true,2023-04-20 13:19:28.080438 +00:00
149,ΘΕΡΜΑΝΣΗ ΕΩΣ 18/04/2023,322.00,true,2023-04-20 13:07:46.766044 +00:00
149,ΔΕΗ 09/12/22-06/02/23,260.50,true,2023-04-20 12:59:51.658948 +00:00
149,ΔΕΥΑΠ 14/09/22-12/01/23,53.00,true,2023-04-20 12:58:34.703307 +00:00
149,ΕΚΔΟΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ,4.00,false,2023-04-20 12:50:16.502793 +00:00
149,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,65.00,false,2023-04-20 12:50:13.200397 +00:00
149,ΔΙΑΧ/ΚΑ,52.00,false,2023-04-20 12:50:09.448150 +00:00
149,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,75.00,false,2023-04-20 12:50:05.890252 +00:00
195,ΗΛΕΚΤΡΟΛΟΓΟΣ-ΛΑΜΠΑ-ΝΤΟΥΙ,10.00,true,2023-04-20 12:43:31.628574 +00:00
195,ΔΕΥΑΠ 26/10/22-26/12/22,14.00,true,2023-04-20 12:42:35.475572 +00:00
195,ΔΕΗ 08/11/22-07/03/23,151.50,true,2023-04-20 12:41:37.854798 +00:00
195,ΔΙΑΧ/ΚΑ,125.00,true,2023-04-20 12:38:58.534813 +00:00
195,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,80.00,true,2023-04-20 12:38:45.809671 +00:00
195,ΕΚΔΟΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ,9.00,true,2023-04-20 12:38:27.851385 +00:00
195,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,65.00,true,2023-04-20 12:38:22.033732 +00:00
195,ΑΠΟΘΕΜΑΤΙΚΟ,375.00,true,2023-04-20 12:38:08.325543 +00:00
184,ΔΕΗ 08/11/22-07/03/23,44.50,true,2023-04-20 12:33:43.901730 +00:00
